TRX_TYPE	TX_DESC	CHANNEL	BILLER_TARGET	JENIS_TRX	mapping_sendiri		
TRF-BILL_P	BEASSW PPSDMS ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	TLKM SBY TIM	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PPNS	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	TLKM BANDUNG	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB DEPOK	ATM	PBB DEPOK	PAYMENT			
TRF-BILL_P	SAMSAT JABAR	ATM	SAMSAT JABAR	PAYMENT			
TRF-BILL_P	BPJS TK BPU	ATM	BPJS TK	PAYMENT			
TRF-BILL_P	PP3 TJ WANGI	ATM	PELINDO	PAYMENT			
TRF-BILL_P	SPC H2H UST	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP4 PAREPARE	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PRUD UBAH PL	ATM	PRUDENTIAL	PAYMENT			
TRF-BILL_P	VCR TLKOMSEL:200000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	STACO E.SF	ATM		OTHERS			
TRF-BILL_P	PAKET DATA:50000	ATM	PAKET DATA XL	PURCHASE			
TRF-BILL_P	TLKM JAYAPURA	ATM	TELKOM	PAYMENT			
TRF-BILL_P	WAKAF PROD	ATM	WAKAF	PAYMENT			
TRF-BILL_P	SPC UNAND H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PBB KAB.OKU INDUK	ATM	?	?			
TRF-BILL_P	PP3 BIMA	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PDAM OKB	ATM	?	?			
TRF-BILL_P	PP4 BONTANG	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PANIN CARD	ATM	PANIN	PAYMENT			
TRF-BILL_P	SPC UINSU	ATM	SPC UINSU	PAYMENT			
TRF-BILL_P	IPC	ATM	IPC	PAYMENT			
TRF-BILL_P	PAJAK KAB BOJONEGORO	ATM	?	?			
TRF-BILL_P	SPC UNPAM	ATM	SPC UNPAM	PAYMENT			
TRF-BILL_P	UNIVERSITAS SEMARANG	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	TLKM BALIKPAPAN	ATM	TELKOM	PAYMENT			
TRF-BILL_P	BAMUIS ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	PDAM BANJARMASIN	ATM	BANJARMASIN	PAYMENT			
TRF-BILL_P	PLN S2JB	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	SPC H2H UNES	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	TLKM KENDARI	ATM	TELKOM	PAYMENT			
TRF-BILL_P	SPC H2H MAHASARASWAT	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	FIRST MEDIA	ATM	FIRST MEDIA	PAYMENT			
TRF-BILL_P	PLN PREPAID:5000000	ATM	PLN PREPAID:5000000	PURCHASE			
TRF-BILL_P	TLKM DENPASAR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:50000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	KAI SW ASSET	ATM		OTHERS			
TRF-BILL_P	PP4 MANADO	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PP4 TPB	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PP2 TG PRIOK	ATM	PP2 TG PRIOK	PAYMENT			
TRF-BILL_P	XL VOUCHER:500000	ATM	XL	PURCHASE			
TRF-BILL_P	PAKET DATA:30000	ATM	PAKET DATA XL	PURCHASE			
TRF-BILL_P	DIRECT EPRS	ATM	DIRECT EPRS	PURCHASE			
TRF-BILL_P	SPC UNISKA	ATM	SPC UNISKA	PAYMENT			
TRF-BILL_P	PAKET DATA:       179000.	ATM	?	?			
TRF-BILL_P	WAKAF	ATM	WAKAF	PAYMENT			
TRF-BILL_P	PDAM BALIKPAPAN	ATM	BALIKPAPAN	PAYMENT			
TRF-BILL_P	ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	ITS PTNBH	ATM	?	?			
TRF-BILL_P	PP3 KUPANG	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PLN KALBAR	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	VCR TLKOMSEL:20000	ATM	TELKOMSEL:20000	PURCHASE			
TRF-BILL_P	CC AMEX	ATM	AMEX	PAYMENT			
TRF-BILL_P	PDAM KT BGR	ATM	KOTA BOGOR	PAYMENT			
TRF-BILL_P	PBB BERAU	ATM	PBB BERAU	PAYMENT			
TRF-BILL_P	PBB KAB.TABANAN	ATM	?	?			
TRF-BILL_P	TIKET KAI	ATM	KAI	PURCHASE			
TRF-BILL_P	STIKES AKBIDYO	ATM	?	?			
TRF-BILL_P	PBB DKI BARAT	ATM	PBB DKI BARAT	PAYMENT			
TRF-BILL_P	SPC UPI	ATM	SPC UPI	PAYMENT			
TRF-BILL_P	PBB KOTA BENGKULU	ATM	?	?			
TRF-BILL_P	TLKM CIANJUR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PP3 TJ EMAS	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PRUD CTK ULG	ATM	PRUDENTIAL	PAYMENT			
TRF-BILL_P	UPN JATIM	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PLN SUMBAR	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PP3 TJ PERAK	ATM	PELINDO	PAYMENT			
TRF-BILL_P	ISI YOGYAKARTA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	SPC H2H ITS	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	H2H UNSIKA	ATM	H2H UNSIKA	PAYMENT			
TRF-BILL_P	PDAM KOTA BANDUNG	ATM	BANDUNG	PAYMENT			
TRF-BILL_P	SPC IPB BGR	ATM	SPC IPB BGR	PAYMENT			
TRF-BILL_P	PBBMAJALENGKA	ATM	PBB MAJALENGKA	PAYMENT			
TRF-BILL_P	PP4 BITUNG	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PDAM PALYJA	ATM	PALYJA	PAYMENT			
TRF-BILL_P	TLKM MALANG	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PLN BABEL	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PP3 PRBLINGGO	ATM	PELINDO	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:100000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	PKPU INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	PLN MALUKU	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	DPU DT ZAKAT	ATM	ZAKAT	PAYMENT			
TRF-BILL_P	3 PREPAID:30000	ATM	THREE	PURCHASE			
TRF-BILL_P	PBB MAGETAN	ATM	?	?			
TRF-BILL_P	PLN PREPAID:1000000	ATM	PLN PREPAID:1000000	PURCHASE			
TRF-BILL_P	TLKM JEMBER	ATM	TELKOM	PAYMENT			
TRF-BILL_P	PBB MANOKWARI	ATM	?	?			
TRF-BILL_P	PP3 KUMAI	ATM	PELINDO	PAYMENT			
TRF-BILL_P	H2H UNG	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	3 PREPAID:100000	ATM	THREE	PURCHASE			
TRF-BILL_P	PJK DA DKI	ATM	PAJAK DKI	PAYMENT			
TRF-BILL_P	PBB BEKASI	ATM	PBB BEKASI	PAYMENT			
TRF-BILL_P	CETAK ULANG POLIS	ATM		OTHERS			
TRF-BILL_P	TLKMSEL INTERNET	ATM	TSELDATA	PURCHASE			
TRF-BILL_P	TRANS VISION MPUT	ATM	TRANSVISION	PAYMENT			
TRF-BILL_P	SPC UMB	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PP4 JAYAPURA	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PDAM SURABAYA	ATM	SURABAYA	PAYMENT			
TRF-BILL_P	PAKET DATA:        59000.	ATM	?	?			
TRF-BILL_P	BEASISWA	ATM	BEASISWA	PAYMENT			
TRF-BILL_P	PP4 SMARINDA	ATM	PELINDO	PAYMENT			
TRF-BILL_P	CC BANK MEGA	ATM	MEGA	PAYMENT			
TRF-BILL_P	TLKM PONTIANAK	ATM	TELKOM	PAYMENT			
TRF-BILL_P	TLKM TANGGR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	FREN:100000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	H2H UKDW	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	CITIBANK CC	ATM	CITIBANK	PAYMENT			
TRF-BILL_P	SPC UPN YK	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PAKET DATA:        89000.	ATM	?	?			
TRF-BILL_P	CAR PREMI	ATM	CAR INSURANCE PREMI	PAYMENT			
TRF-BILL_P	PBB KOTIM	ATM	?	?			
TRF-BILL_P	PBB NGANJUK	ATM	?	?			
TRF-BILL_P	CITIBANK READY CASH	ATM	CITIBANK	PAYMENT			
TRF-BILL_P	SPC UNHAS	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PBB KMOBAGU	ATM	PBB KMOBAGU	PAYMENT			
TRF-BILL_P	OTO MBL/MTR	ATM	OTO FINANCE	PAYMENT			
TRF-BILL_P	PBB BANYUMAS	ATM	PBB BANYUMAS	PAYMENT			
TRF-BILL_P	ANZ IND P/L	ATM	ANZ	PAYMENT			
TRF-BILL_P	SPC UNS	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	TLKM MANADO	ATM	TELKOM	PAYMENT			
TRF-BILL_P	FIF	ATM	FIF FINANCE	PAYMENT			
WDR	INTERN-WDR-ISS-ACQ	ATM	INTERN-WDR-ISS-ACQ	WITHDRAWAL			
WDR	WDR-CRED	ATM	WDR-CRED	WITHDRAWAL			
WDR	LINK-WDR-ACQ	ATM	LINK-WDR-ACQ	WITHDRAWAL			
WDR	WDR-PRIMA	ATM	WDR-PRIMA	WITHDRAWAL			
WDR	WDR-BERSAMA	ATM	WDR-BERSAMA	WITHDRAWAL			
WDR	WDR-LINK	ATM	WDR-LINK	WITHDRAWAL			
WDR	BERSAMA-WDR-ACQ	ATM	BERSAMA-WDR-ACQ	WITHDRAWAL			
WDR	PRIMA-WDR-ACQ	ATM	PRIMA-WDR-ACQ	WITHDRAWAL			
?	BNI POPS - Product Allocation	BNIDIRECT	?	?			
?	Bill Payment - ANGKASA_PURA_I	BNIDIRECT	?	?			
?	Bill Payment - FREN POSTPAID	BNIDIRECT	?	?			
?	Bill Payment - JICT	BNIDIRECT	?	?			
?	SSP MPN G3	BNIDIRECT	?	?			
?	Issuance SC Pay	BNIDIRECT	?	?			
?	Online Transfer	BNIDIRECT	?	?			
?	Bill Payment - SDPPI_BIGAMOUNT	BNIDIRECT	?	?			
?	Bill Payment - BPJS_TKBPU	BNIDIRECT	?	?			
?	Bill Payment - KAI_ANGKUTBARANG_IDR	BNIDIRECT	?	?			
?	Bulk Payment - Online	BNIDIRECT	?	?			
?	Bill Payment - VAPAYMENT	BNIDIRECT	?	?			
?	Bill Payment - CITILINK	BNIDIRECT	?	?			
?	Bill Payment - TPK_KOJA	BNIDIRECT	?	?			
?	BNI POPS - Cash And Carry	BNIDIRECT	?	?			
?	Payroll - Mixed	BNIDIRECT	?	?			
?	Bulk Payment - Mixed	BNIDIRECT	?	?			
?	Bill Payment - GE	BNIDIRECT	?	?			
?	Payroll - Online	BNIDIRECT	?	?			
?	Bill Payment - BPJS_KETENAGAKERJAAN_JAKO	BNIDIRECT	?	?			
?	Bill Payment - XL EXTRA	BNIDIRECT	?	?			
?	Bill Payment - KAI_TOPUP_AGENT_IDR	BNIDIRECT	?	?			
?	Bill Payment - PELINDO_4	BNIDIRECT	?	?			
?	Bill Payment - PELINDO_2_IDR	BNIDIRECT	?	?			
?	Bill Payment - KAI_SEWA_ASET_IDR	BNIDIRECT	?	?			
?	Bill Payment - KTMT	BNIDIRECT	?	?			
?	Bill Payment - VA_BILLING_CLOSE	BNIDIRECT	?	?			
?	Inventory SC Pay	BNIDIRECT	?	?			
?	Bill Payment - PELINDO_3	BNIDIRECT	?	?			
?	Bill Payment - DPLK	BNIDIRECT	?	?			
?	Bill Payment - PIHC_PKC	BNIDIRECT	?	?			
?	Bill Payment - VA_BILLING_OPEN	BNIDIRECT	?	?			
?	Bill Payment - TAPCASH	BNIDIRECT	?	?			
?	Bill Payment - PBB	BNIDIRECT	?	?			
Autodebet	Auto Debit	BNIDIRECT	?	?			
Bill Payment	Bill Payment - SGG_GRESIK	BNIDIRECT	?	?			
Bill Payment	Bill Payment - XL PostPaid	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PIHC_PKT	BNIDIRECT	?	?			
Bill Payment	Bill Payment - BPJS_KETENAGAKERJAAN	BNIDIRECT	?	?			
Bill Payment	Bill Payment - DANAMON	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PIHC_PSP	BNIDIRECT	?	?			
Bill Payment	Bill Payment - LION_AIR1	BNIDIRECT	?	?			
Bill Payment	Bill Payment - CITIBANK	BNIDIRECT	?	?			
Bill Payment	Bill Payment - AMEX	BNIDIRECT	?	?			
Bill Payment	Bill Payment - THREE POSTPAID	BNIDIRECT	?	?			
Bill Payment	Bill Payment - BPJS_KESEHATAN	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PELINDO_1	BNIDIRECT	?	?			
Bill Payment	Bill Payment - FREN	BNIDIRECT	?	?			
Bill Payment	Bill Payment - TELKOM	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PIHC_PIM	BNIDIRECT	?	?			
Bill Payment	Bill Payment - HALO	BNIDIRECT	?	?			
Bill Payment	Bill Payment - AS	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PANIN	BNIDIRECT	?	?			
Bill Payment	Bill Payment - IM3	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PLN	BNIDIRECT	?	?			
Bill Payment	Bill Payment - ANZ	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PKG	BNIDIRECT	?	?			
Bill Payment	Bill Payment - SCB	BNIDIRECT	?	?			
Bill Payment	Bill Payment - PIHC_PKG	BNIDIRECT	?	?			
Bill Payment	Bill Payment - SIMPATI	BNIDIRECT	?	?			
Bill Payment	Bill Payment - SGG_TONASA	BNIDIRECT	?	?			
Bill Payment	Bill Payment - XL REGULER	BNIDIRECT	?	?			
Bill Payment	Bill Payment - BUKOPIN	BNIDIRECT	?	?			
Bill Payment	Bill Payment - HSBC	BNIDIRECT	?	?			
Bill Payment	Bill Payment - BNI Credit Card	BNIDIRECT	?	?			
Bill Payment	Bill Payment - BPDP-KS	BNIDIRECT	?	?			
Bill Payment	Bill Payment - BRI	BNIDIRECT	?	?			
Bill Payment	Bill Payment - THREE	BNIDIRECT	?	?			
Collection Management	Cash Pooling	BNIDIRECT	?	?			
Mass Payment 	Bulk Payment - RTGS	BNIDIRECT	?	?			
Mass Payment 	Bulk Payment - In House Transfer	BNIDIRECT	?	?			
Mass Payment 	Bulk Payment - LLG	BNIDIRECT	?	?			
Pembelian Valas (against IDR)	Bulk Payment - International Transfer	BNIDIRECT	?	?			
Pembelian Valas (against IDR)	International Transfer	BNIDIRECT	?	?			
Pembelian Valas (against IDR)	Payroll - International	BNIDIRECT	?	?			
Tax Payment	SSP MPN G2	BNIDIRECT	?	?			
Tax Payment	Bill Payment - MPN	BNIDIRECT	?	?			
Transfer Management	Range Balance	BNIDIRECT	?	?			
Transfer Management	In House Transfer to Third Party Account	BNIDIRECT	?	?			
Transfer Management	Clearing Transfer	BNIDIRECT	?	?			
Transfer Management	RTGS Transfer	BNIDIRECT	?	?			
Transfer Management	RTGS Payroll	BNIDIRECT	?	?			
Transfer Management	In House Transfer to Own Account	BNIDIRECT	?	?			
Transfer Management	Clearing Payroll	BNIDIRECT	?	?			
Transfer Management	In House Payroll	BNIDIRECT	?	?			
Transfer Management	Cash Distribution	BNIDIRECT	?	?			
Transfer Management	Target Balance	BNIDIRECT	?	?			
CREDIT CARD BNI	BNI	INTERNET	BNI	PAYMENT	Pembayaran CC BNI		distinct mapping_sendiri
SWT	BPD KALSEL	INTERNET	BANK KALSEL	TRANSFER	Transfer Antar Bank	Transfer	Transfer BNI
TRF-BILL_P	Beasiswa PPSDMS Infaq	INTERNET	INFAQ - PPSDMS	PAYMENT	Pembayaran Charity		Transfer Antar Bank
VOUCHER PREPAID RECHARGE	INDOSAT:25000	INTERNET	INDOSAT:25000	PURCHASE	Pembelian Pulsa	Pembayaran	Pembayaran CC BNI
CLR	BANK BUMI ARTA	INTERNET	BANK BUMI ARTA	TRANSFER	Transfer Antar Bank		Pembayaran CC Bank Lain
TUITION FEE	UPN Veteran Yogyakarta	INTERNET	UPN VETERAN YOGYAKARTA	PAYMENT	Pembayaran Pendidikan		Pembayaran Telepon
CLR	BANK ARTHA GRAHA INTERNASIONAL	INTERNET	BANK ARTHA GRAHA INTERNASIONAL	TRANSFER	Transfer Antar Bank		Pembayaran Pendidikan
CWP	PDAM_JAYAPURA	INTERNET	PDAM_JAYAPURA	PAYMENT	Pembayaran Utilities		Pembayaran Transportasi
SWT	PANIN BANK DUBAI SYARIAH	INTERNET	PANIN BANK DUBAI SYARIAH	KLIRING	Kliring Antar Bank		Pembayaran Asuransi
TUITION FEE	Universitas Sebelas Maret Surakarta	INTERNET	UNIVERSITAS SEBELAS MARET SURAKARTA	PAYMENT	Pembayaran Pendidikan		Pembayaran Utilities
SWT	KEB HANA BANK	INTERNET	KEB HANA BANK	KLIRING	Kliring Antar Bank		Pembayaran Charity
CLR	BANK DANAMON INDONESIA UNIT SYARIAH	INTERNET	BANK DANAMON UNIT SYARIAH	TRANSFER	Transfer Antar Bank		Pembayaran Pemerintah
TUITION FEE	Universitas Sultan Ageng Tirtayasa	INTERNET	?	?	Pembayaran Pendidikan		Pembayaran Pinjaman
TRF-BILL_P	PKPU Zakat	INTERNET	ZAKAT - PKPU	PAYMENT	Pembayaran Charity		
TUITION FEE	Universitas Negeri Semarang	INTERNET	UNIVERSITAS NEGERI SEMARANG	PAYMENT		Pembelian	Pembelian Pulsa
SWT	BANK PERMATA	INTERNET	BANK PERMATA	TRANSFER			Pembelian Token PLN
TUITION FEE	Universitas Jember	INTERNET	UNIVERSITAS JEMBER	PAYMENT			Pembelian Voucher TV
SWT	MNC BANK	INTERNET	MNC BANK	TRANSFER			
SWT	BANK DBS INDONESIA	INTERNET	DBS BANK	TRANSFER		Kliring	Kliring BNI
PERSONAL LOAN	SCB_PL	INTERNET	STANDARD CHARTERED - PL	PAYMENT			Kliring Antar Bank
MFP	OTO Kredit Mobil/Motor	INTERNET	OTO FINANCE	PAYMENT			
CLR	BSI ex BINS	INTERNET	?	?		Inquiry	Inquiry
CLR	BSI ex BSM	INTERNET	?	?			
TUITION FEE	Universitas Sumatra Utara	INTERNET	?	?		Others	Others
CWP	PDAM_PADANG	INTERNET	?	?			
SWT	BANK DANAMON INDONESIA	INTERNET	BANK DANAMON	TRANSFER			
SWT	BANK AGRO NIAGA	INTERNET	BANK BRI AGRONIAGA	TRANSFER			
MPN	DITJEN PAJAK	INTERNET	MPN	PAYMENT			
CWP	PDAM_MALANG	INTERNET	PDAM_MALANG	PAYMENT			
CLR	BPD JAMBI	INTERNET	BANK JAMBI	TRANSFER			
TRF-BILL_P	Baznas Kurban	INTERNET	QURBAN - BAZNAS	PAYMENT			
TUITION FEE	Universitas Andalas	INTERNET	UNIVERSITAS ANDALAS	PAYMENT			
MPN	DITJEN ANGGARAN	INTERNET	MPN	PAYMENT			
TRF-BILL_P	Zakat BAMUIS	INTERNET	ZAKAT - BAMUIS	PAYMENT			
CLR	HSBC -HONGKONG AND SHANGHAI BANK	INTERNET	BANK HSBC	TRANSFER			
VOUCHER PREPAID RECHARGE	AS:100000	INTERNET	TELKOMSEL:100000	PURCHASE			
VOUCHER PREPAID RECHARGE	THREE:100000	INTERNET	THREE:100000	PURCHASE			
RTG	BANK INDONESIA - BI PALANGKA RAYA	INTERNET	BANK INDONESIA - BI PALANGKARAYA	TRANSFER			
CREDIT CARD OTHER BANK	BRI	INTERNET	BRI	PAYMENT			
CLR	BANK MUAMALAT INDONESIA	INTERNET	BANK MUAMALAT	TRANSFER			
TRF-BILL_P	ADIRA FINANCE	INTERNET	ADIRA FINANCE	PAYMENT			
TRF-BILL_P	FINANSIA/KREDITPLUS	INTERNET	KREDIT PLUS	PAYMENT			
SWT	BANK QNB	INTERNET	BANK QNB INDONESIA	TRANSFER			
CHARITY	WAKAF TUNAI	INTERNET	WAKAF	PAYMENT			
TUITION FEE	Universitas Islam Riau	INTERNET	UNIVERSITAS ISLAM RIAU	PAYMENT			
AIRLINE TICKET	GARUDA	INTERNET	GARUDA	PAYMENT			
SWT	BANK BTPN	INTERNET	BANK BTPN	TRANSFER			
SWT	BPD LAMPUNG	INTERNET	BANK LAMPUNG	TRANSFER			
SWT	BANK BCA SYARIAH	INTERNET	BCA SYARIAH	TRANSFER			
TUITION FEE	Universitas Tanjungpura	INTERNET	?	?			
TUITION FEE	Universitas Padjadjaran	INTERNET	UNIVERSITAS PADJADJARAN	PAYMENT			
CLR	BANK DBS INDONESIA	INTERNET	DBS BANK	TRANSFER			
CLR	PANIN BANK	INTERNET	BANK PANIN	TRANSFER			
SWT	BANK CIMB NIAGA UNIT SYARIAH	INTERNET	BANK CIMB NIAGA SYARIAH	TRANSFER			
TRF-BILL_P	QURBAN RZ	INTERNET	QURBAN - RUMAH ZAKAT	PAYMENT			
SWT	PANIN BANK	INTERNET	BANK PANIN	TRANSFER			
SWT	BANK SYARIAH MEGA INDONESIA	INTERNET	BANK MEGA SYARIAH	TRANSFER			
CABLE TV	FIRSTMEDIA	INTERNET	FIRSTMEDIA	PAYMENT			
VOUCHER PREPAID RECHARGE	XL_REG:500000	INTERNET	XL : 500000	PAYMENT			
TUITION FEE	UNIVERSITAS TERBUKA	INTERNET	UNIVERSITAS TERBUKA	PAYMENT			
TUITION FEE	Universitas Negeri Makasar	INTERNET	UNIVERSITAS NEGERI MAKASAR	PAYMENT			
CLR	DBS/Eks-ANZ	INTERNET	DBS	KLIRING			
CABLE TV	TRANSVISION	INTERNET	TRANSVISION	PAYMENT			
SWT	BANK HSBC Indonesia	INTERNET	BANK HSBC	TRANSFER			
SWT	BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA	INTERNET	BPD KALIMANTAN TIMUR DAN KALIMANTAN UTAR	KLIRING			
MPN	DITJEN BEA DAN CUKAI	INTERNET	MPN	PAYMENT			
CLR	BANK SINARMAS	INTERNET	BANK SINARMAS	TRANSFER			
VOUCHER PREPAID RECHARGE	FREN:100000	INTERNET	SMARTFREN:100000	PURCHASE			
TKI	TKI	INTERNET	TKI	PAYMENT			
CLR	BANK TABUNGAN NEGARA	INTERNET	BANK BTN	TRANSFER			
CHARITY	QURBAN	INTERNET	QURBAN	PAYMENT			
CWP	PALYJA	INTERNET	PALYJA	PAYMENT			
VOUCHER PREPAID RECHARGE	AS:200000	INTERNET	TELKOMSEL:200000	PURCHASE			
PNF	PENSION FT	INTERNET	DPLK BNI	TRANSFER			
CLR	BPD JATIM	INTERNET	BANK JATIM	TRANSFER			
MFP	Adira Finance	INTERNET	Adira Finance	PAYMENT			
SWT	BANK DKI SYARIAH	INTERNET	BANK DKI SYARIAH	TRANSFER			
SWT	BANK MEGA	INTERNET	BANK MEGA	TRANSFER			
VOUCHER PREPAID RECHARGE	XL_REG:150000	INTERNET	XL : 150000	PAYMENT			
CLR	BANK BTPN	INTERNET	BANK BTPN	TRANSFER			
TRF-BILL_P	WAKAF DD	INTERNET	WAKAF - DOMPET DHUAFA	PAYMENT			
CREDIT CARD OTHER BANK	HSBC	INTERNET	HSBC	PAYMENT			
SWT	BPD KALTENG	INTERNET	BANK KALTENG	TRANSFER			
RTG	BANK RAKYAT INDONESIA	INTERNET	BANK BRI	TRANSFER			
TRF-BILL_P	XL VOUCHER:200000	INTERNET	XL:200000	PURCHASE			
SWT	BSI ex BNIS	INTERNET	?	?			
RTG	BANK CENTRAL ASIA UNIT SYARIAH	INTERNET	?	?			
CLR	BANK SBI INDONESIA	INTERNET	BANK SBI INDONESIA	TRANSFER			
SWT	BPD JATENG UNIT SYARIAH	INTERNET	BANK JATENG UNIT SYARIAH	TRANSFER			
MOBILE POSTPAID	XPLOR	INTERNET	XL POSTPAID	PAYMENT			
TRF-BILL_P	XL VOUCHER:100000	INTERNET	XL:100000	PURCHASE			
CLR	BPD KALIMANTAN TIMUR DAN KALIMANTAN UTARA	INTERNET	?	?			
MFP	ACC	INTERNET	Astra Credit Company	PAYMENT			
TUITION FEE	Universitas Udayana	INTERNET	UNIVERSITAS UDAYANA	PAYMENT			
SWT	BPD DIY UNIT SYARIAH	INTERNET	BANK BPD DIY UNIT SYARIAH	TRANSFER			
CLR	CTBC BANK	INTERNET	CTBC BANK	TRANSFER			
TRF-BILL_P	Baznas Infaq	INTERNET	INFAQ - BAZNAS	PAYMENT			
TRF-BILL_P	Infak BAMUIS	INTERNET	INFAQ - BAMUIS	PAYMENT			
CREDIT CARD OTHER BANK	CITIBANK	INTERNET	CITIBANK	PAYMENT			
CLR	PT. Bank Aceh Syariah	INTERNET	BANK ACEH SYARIAH	TRANSFER			
CLR	BPD JATENG	INTERNET	BANK JATENG	TRANSFER			
SWT	BANK DANAMON INDONESIA UNIT SYARIAH	INTERNET	BANK DANAMON UNIT SYARIAH	TRANSFER			
CLR	ANGLOMAS INTERNATIONAL BANK	INTERNET	AMAR BANK	TRANSFER			
SWT	BPD SULSELBAR	INTERNET	BANK SULSELBAR	TRANSFER			
CLR	BANK SUMITOMO MITSUI INDONESIA	INTERNET	BANK SUMITOMO MITSUI INDONESIA	TRANSFER			
CWP	PDAM_KABBANDUNG	INTERNET	PDAM_KABBANDUNG	PAYMENT			
SWT	BPD ACEH	INTERNET	BANK ACEH	TRANSFER			
TRF-BILL_P	Prudential	INTERNET	PRUDENTIAL	PAYMENT			
TRF-BILL_P	PLN NON TAGLIS	INTERNET	PLN NON TAGLIS	PAYMENT			
TUITION FEE	Universitas Sam Ratulangi Manado	INTERNET	UNIVERSITAS SAM RATULANGI MANADO	PAYMENT			
CLR	BSI ex BRIS	INTERNET	?	?			
RTG	PANIN BANK	INTERNET	BANK PANIN	TRANSFER			
TRF-BILL_P	XL VOUCHER:25000	INTERNET	XL:25000	PURCHASE			
SWT	BANK CIMB NIAGA	INTERNET	BANK CIMB NIAGA	TRANSFER			
TRF-BILL_P	NSC FINANCE	INTERNET	NSC FINANCE	PAYMENT			
SWT	BPD JATIM UNIT SYARIAH	INTERNET	BANK JATIM UNIT SYARIAH	TRANSFER			
SWT	BPD KALBAR	INTERNET	BANK KALBAR	TRANSFER			
TUITION FEE	UPN Veteran Jawa Timur	INTERNET	UPN VETERAN JAWA TIMUR	PAYMENT			
VOUCHER PREPAID RECHARGE	FREN:25000	INTERNET	SMARTFREN:25000	PURCHASE			
CLR	BPD DIY	INTERNET	BANK BPD DIY	TRANSFER			
VOUCHER PREPAID RECHARGE	XL_REG:25000	INTERNET	XL:25000	PURCHASE			
TUITION FEE	Universitas Mercu Buana	INTERNET	UNIVERSITAS MERCU BUANA	PAYMENT			
TUITION FEE	Universitas Kristen Duta Wacana	INTERNET	UNIVERSITAS KRISTEN DUTA WACANA	PAYMENT			
SWT	BPD NTB	INTERNET	BANK NTB	TRANSFER			
RTG	BANK DANAMON INDONESIA	INTERNET	BANK DANAMON	TRANSFER			
